1,612,461,50,29
1,485,317,293,140
2,466,317,312,173
3,466,317,312,173
4,465,317,313,174
5,466,317,312,174
6,466,317,312,173
7,465,317,312,174
8,465,317,313,173
9,465,317,313,174
10,465,317,313,174
11,466,317,312,174
12,465,317,313,174
13,466,317,311,174
14,466,317,312,174
15,466,317,312,174
16,464,317,314,174
17,466,318,312,173
18,466,318,312,173
19,464,318,314,173
20,466,318,312,173
21,465,317,313,174
22,467,317,310,174
23,465,317,312,174
24,464,318,314,173
25,465,318,312,173
26,464,318,313,173
27,465,318,313,173
28,464,317,313,174
29,464,317,313,173
30,464,318,313,173
31,463,318,315,173
32,464,317,313,174
33,463,318,314,173
34,464,318,314,173
35,463,318,315,173
36,463,318,315,173
37,465,318,313,173
38,464,317,313,174
39,464,318,313,173
40,463,318,315,173
41,464,317,314,174
42,464,318,314,173
43,464,318,314,173
44,465,317,313,173
45,464,318,314,173
46,464,318,314,173
47,464,317,314,174
48,463,318,315,173
49,464,317,314,174
50,464,317,314,174
51,465,318,312,173
52,464,317,313,174
53,462,317,313,173
54,458,317,313,172
55,452,317,314,173
56,443,319,316,171
57,432,320,316,171
58,421,321,316,171
59,407,321,316,172
60,394,320,316,173
61,382,319,314,173
62,370,318,314,174
63,361,317,312,174
64,348,314,311,175
65,343,313,311,175
66,337,311,309,176
67,336,311,309,175
68,335,311,308,176
69,334,311,308,176
70,337,311,310,174
71,345,310,312,173
72,370,307,310,168
73,384,305,309,165
74,413,300,309,161
75,430,296,305,160
76,458,290,303,155
77,483,281,301,155
78,505,275,297,154
79,514,272,296,155
80,523,271,294,156
81,536,272,295,157
82,542,273,295,158
83,555,277,297,161
84,563,279,296,162
85,572,281,298,166
86,582,285,299,170
87,598,295,301,175
88,606,299,301,176
89,612,301,303,179
90,623,306,304,181
91,627,308,304,182
92,629,309,305,183
93,631,310,305,184
94,634,310,304,185
95,633,310,304,185
96,631,311,304,187
97,626,311,304,188
98,618,313,306,188
99,583,320,315,192
100,529,336,327,197
101,495,346,334,202
102,460,356,341,205
103,423,366,345,207
104,388,376,350,210
105,327,393,354,214
106,284,401,353,217
107,269,403,353,219
108,254,405,352,220
109,247,404,352,219
110,246,402,351,219
111,244,399,351,216
112,248,381,341,207
113,254,365,334,200
114,271,332,320,184
115,279,317,313,177
116,284,303,310,170
117,292,291,303,164
118,297,281,302,157
119,304,272,297,153
120,312,262,293,146
121,314,261,290,146
122,314,261,289,146
123,313,260,291,146
124,317,261,291,145
125,327,260,292,142
126,364,252,291,139
127,388,247,288,138
128,410,245,288,136
129,451,243,286,136
130,487,241,283,136
131,502,240,284,137
132,519,239,282,139
133,522,239,281,139
134,522,239,281,139
135,524,237,280,139
136,524,237,280,140
137,525,237,279,140
138,525,237,279,139
139,525,237,280,139
140,526,237,278,140
141,526,237,279,139
142,525,237,280,139
143,526,237,279,139
144,525,237,280,139
145,526,237,279,140
146,526,237,279,139
147,526,237,279,140
148,526,237,278,140
149,526,237,279,140
150,526,237,279,140
151,526,237,279,140
152,525,238,280,139
153,526,237,279,139
154,526,237,279,139
155,526,237,278,139
156,526,237,279,139
157,525,237,280,140
158,526,237,279,139
159,526,237,279,139
160,526,237,279,139
161,526,237,279,139
162,526,237,278,139
163,526,237,279,140
164,526,237,279,139
165,526,237,278,140
166,526,237,279,139
167,526,237,278,140
168,526,237,279,139
169,526,237,279,139
170,526,237,279,139
171,526,237,279,140
172,525,237,279,139
173,526,237,279,139
174,526,237,279,139
175,526,237,279,139
176,526,237,279,140
177,526,237,279,139
178,526,238,278,139
179,526,237,279,140
180,527,237,278,139
181,526,237,279,140
182,525,237,280,139
183,526,237,279,140
184,526,237,279,140
185,526,237,279,140
186,526,237,279,140
187,525,237,280,140
188,526,238,279,139
189,526,237,278,140
190,526,237,278,140
191,526,237,279,140
192,526,237,279,140
193,527,237,277,139
194,525,237,280,139
195,527,237,278,140
196,525,237,279,139
197,526,237,279,140
198,526,237,279,140
199,526,237,279,140
200,526,237,279,139
201,526,237,278,140
202,526,237,279,139
203,526,237,279,139
204,526,237,279,140
205,526,237,279,139
206,525,237,280,140
207,526,237,279,139
208,526,237,279,139
209,526,237,278,139
210,526,237,279,140
211,526,237,279,139
212,525,237,280,139
213,525,237,280,139
